Run ID: 20251209_161407
Date: 2025-12-09 16:14:07.596287
--------------------------------
Weed Patches: 150
Obstacles: 120
Planning Duration: 69.85 s
  Patch 94: POINT (671.8003341010593 109.7990797650922)
  Patch 95: POINT (172.6923925567612 27.53510203970432)
  Patch 96: POINT (190.08040612744225 148.77171899103894)
  Patch 97: POINT (714.0796557235074 147.13382395792198)
  Patch 98: POINT (386.58755968757214 586.6130091982972)
  Patch 99: POINT (30.91165156921226 182.77085363863873)
  Patch 100: POINT (57.327160266782535 425.0377449730154)
  Patch 101: POINT (40.86440727326426 568.4496688877497)
  Patch 102: POINT (658.2251750027744 737.1532982179733)
  Patch 103: POINT (48.8334081448885 40.1767852394521)
  Patch 104: POINT (554.5090432367456 250.20166687752817)
  Patch 105: POINT (463.82867413029805 379.4039223566112)
  Patch 106: POINT (608.0693424635188 511.14528061976466)
  Patch 107: POINT (116.20266043574856 646.0999823093769)
  Patch 108: POINT (581.4807762048092 642.4546987199464)
  Patch 109: POINT (94.00505580393799 762.3044797391553)
  Patch 110: POINT (477.8479201896921 115.09294426345919)
  Patch 111: POINT (92.3078834523526 442.92119908356324)
  Patch 112: POINT (383.3105237682724 538.3705895178052)
  Patch 113: POINT (638.2676038868395 641.6706697428056)
  Patch 114: POINT (79.60858220643125 529.2614856068396)
  Patch 115: POINT (302.98738996577424 170.97467826667523)
  Patch 116: POINT (68.09430533491931 717.17023539201)
  Patch 117: POINT (521.1733178523316 600.5518613208453)
  Patch 118: POINT (378.5893684869194 763.1192743789453)
  Patch 119: POINT (526.0233352064218 716.9921671532852)
  Patch 120: POINT (175.65762242736355 583.8005744859627)
  Patch 121: POINT (128.92275338958478 195.24508990313828)
  Patch 122: POINT (191.44776462001641 644.6887099288562)
  Patch 123: POINT (128.4185487855146 61.67974555759959)
  Patch 124: POINT (685.6943767041354 518.334877328166)
  Patch 125: POINT (222.7474396311204 206.46716377705323)
  Patch 126: POINT (305.14509546942395 280.75512673834106)
  Patch 127: POINT (660.5929356210487 222.5371251448325)
  Patch 128: POINT (697.4107388674295 235.02230061295447)
  Patch 129: POINT (288.1200495169242 478.94550401546826)
  Patch 130: POINT (629.0568449629408 168.35311281285868)
  Patch 131: POINT (682.0807503247119 424.61857540471135)
  Patch 132: POINT (690.513334369762 452.6974590841002)
  Patch 133: POINT (651.2061043003785 521.7465861836223)
  Patch 134: POINT (416.12108298898596 296.0024013525309)
  Patch 135: POINT (285.071672631364 186.66565541108884)
  Patch 136: POINT (143.52044530817003 743.4444593645165)
  Patch 137: POINT (541.0449209696793 704.6417852576616)
  Patch 138: POINT (462.9343988646921 58.50924209075619)
  Patch 139: POINT (599.5491295695091 581.1984238019645)
  Patch 140: POINT (658.3312320980648 126.84156375393968)
  Patch 141: POINT (307.7087946255231 649.3610724275067)
  Patch 142: POINT (65.83696969445577 633.4184260420222)
  Patch 143: POINT (701.6523567513324 288.692339140578)
  Patch 144: POINT (710.3576087370395 178.70235618938247)
  Patch 145: POINT (646.8751939792295 198.51628317098604)
  Patch 146: POINT (306.70358912933074 105.34784152681098)
  Patch 147: POINT (313.8815531832591 209.80015600327496)
  Patch 148: POINT (366.87015481695687 273.0470340611625)
  Patch 149: POINT (267.06348281500084 368.96515300574373)
--------------------------------
